CD_MUN,lp_adequado,mt_adequado,lp_insuficiente,lp_basico,lp_proficiente,lp_avancado,mt_insuficiente,mt_basico,mt_proficiente,mt_avancado,ideb
3503208,0.4209,0.09,0.2289,0.3502,0.4096,0.0113,0.4422,0.4677,0.0836,0.0064,4.7
3503307,0.4767,0.0666,0.2177,0.3057,0.4635,0.0132,0.4172,0.5162,0.0633,0.0033,4.7
3503307,0.4767,0.0666,0.2177,0.3057,0.4635,0.0132,0.4172,0.5162,0.0633,0.0033,4.7
3503356,,,,,,,,,,,
3503356,,,,,,,,,,,
3503406,,,,,,,,,,,
3503406,,,,,,,,,,,
3503505,,,,,,,,,,,
3503505,,,,,,,,,,,
3503604,,,,,,,,,,,
3503604,,,,,,,,,,,
3503703,0.5453,0.0874,0.1415,0.3132,0.5313,0.014,0.2551,0.6576,0.0874,0.0,5.4
3503703,0.5453,0.0874,0.1415,0.3132,0.5313,0.014,0.2551,0.6576,0.0874,0.0,5.4
3503802,0.4619,0.104,0.1656,0.3725,0.4464,0.0155,0.3718,0.5243,0.0974,0.0066,4.9
3503802,0.4619,0.104,0.1656,0.3725,0.4464,0.0155,0.3718,0.5243,0.0974,0.0066,4.9
3503901,0.3624,0.0393,0.2993,0.3383,0.3543,0.0081,0.5389,0.4218,0.0393,0.0,4.4
3503901,0.3624,0.0393,0.2993,0.3383,0.3543,0.0081,0.5389,0.4218,0.0393,0.0,4.4
3503950,0.5,0.1667,0.1667,0.3333,0.5,0.0,0.389,0.4445,0.1667,0.0,5.2
3503950,0.5,0.1667,0.1667,0.3333,0.5,0.0,0.389,0.4445,0.1667,0.0,5.2
3504008,0.4976,0.1213,0.1449,0.3576,0.4829,0.0147,0.383,0.4957,0.1065,0.0148,4.8
3504008,0.4976,0.1213,0.1449,0.3576,0.4829,0.0147,0.383,0.4957,0.1065,0.0148,4.8
3504107,0.4303,0.0862,0.2534,0.3163,0.4186,0.0117,0.4556,0.4581,0.0823,0.0039,4.7
3504107,0.4303,0.0862,0.2534,0.3163,0.4186,0.0117,0.4556,0.4581,0.0823,0.0039,4.7
3504206,0.4393,0.1113,0.295,0.2657,0.4255,0.0138,0.4416,0.447,0.1113,0.0,4.7
3504206,0.4393,0.1113,0.295,0.2657,0.4255,0.0138,0.4416,0.447,0.1113,0.0,4.7
3504305,,,,,,,,,,,
3504305,,,,,,,,,,,
3504404,0.3006,0.0126,0.4005,0.2988,0.3006,0.0,0.5232,0.4642,0.0126,0.0,4.3
3504404,0.3006,0.0126,0.4005,0.2988,0.3006,0.0,0.5232,0.4642,0.0126,0.0,4.3
3504503,0.4192,0.1001,0.2778,0.303,0.4072,0.012,0.4976,0.4023,0.0867,0.0134,
3504503,0.4192,0.1001,0.2778,0.303,0.4072,0.012,0.4976,0.4023,0.0867,0.0134,4.2
3504503,0.4192,0.1001,0.2778,0.303,0.4072,0.012,0.4976,0.4023,0.0867,0.0134,4.4
3504602,0.3439,0.0715,0.3559,0.3002,0.3285,0.0154,0.5282,0.4003,0.0666,0.0049,4.4
3504602,0.3439,0.0715,0.3559,0.3002,0.3285,0.0154,0.5282,0.4003,0.0666,0.0049,4.4
3504701,,,,,,,,,,,
3504701,,,,,,,,,,,
3504800,0.375,0.0422,0.2377,0.3873,0.3608,0.0142,0.4691,0.4888,0.0422,0.0,4.8
3504800,0.375,0.0422,0.2377,0.3873,0.3608,0.0142,0.4691,0.4888,0.0422,0.0,4.8
3504909,,,,,,,,,,,
3504909,,,,,,,,,,,
3505005,,,,,,,,,,,
3505005,,,,,,,,,,,
3505104,0.1407,0.0,0.4663,0.393,0.1407,0.0,0.6479,0.3521,0.0,0.0,4.0
3505104,0.1407,0.0,0.4663,0.393,0.1407,0.0,0.6479,0.3521,0.0,0.0,4.0
3505203,0.3502,0.0278,0.3465,0.3033,0.3502,0.0,0.5723,0.3999,0.0278,0.0,4.2
3505203,0.3502,0.0278,0.3465,0.3033,0.3502,0.0,0.5723,0.3999,0.0278,0.0,4.2
3505302,0.5431,0.1006,0.1892,0.2677,0.5175,0.0256,0.3932,0.5063,0.0922,0.0084,5.1
3505302,0.5431,0.1006,0.1892,0.2677,0.5175,0.0256,0.3932,0.5063,0.0922,0.0084,5.1
3505351,0.3241,0.0398,0.3367,0.3392,0.3111,0.013,0.6438,0.3165,0.0268,0.013,4.5
3505351,0.3241,0.0398,0.3367,0.3392,0.3111,0.013,0.6438,0.3165,0.0268,0.013,4.5
3505401,0.1765,0.0106,0.4726,0.351,0.1765,0.0,0.6462,0.3432,0.0106,0.0,4.0
3505401,0.1765,0.0106,0.4726,0.351,0.1765,0.0,0.6462,0.3432,0.0106,0.0,4.0
3505500,0.3721,0.0501,0.2518,0.3759,0.3666,0.0055,0.5024,0.4475,0.0485,0.0016,
3505500,0.3721,0.0501,0.2518,0.3759,0.3666,0.0055,0.5024,0.4475,0.0485,0.0016,4.6
3505500,0.3721,0.0501,0.2518,0.3759,0.3666,0.0055,0.5024,0.4475,0.0485,0.0016,4.5
3505609,0.2174,0.021,0.3751,0.4075,0.2174,0.0,0.6111,0.368,0.021,0.0,4.2
3505609,0.2174,0.021,0.3751,0.4075,0.2174,0.0,0.6111,0.368,0.021,0.0,4.2
3505708,0.4603,0.0817,0.2095,0.3302,0.4397,0.0206,0.4341,0.4841,0.0724,0.0093,4.3
3505708,0.4603,0.0817,0.2095,0.3302,0.4397,0.0206,0.4341,0.4841,0.0724,0.0093,5.5
3505708,0.4603,0.0817,0.2095,0.3302,0.4397,0.0206,0.4341,0.4841,0.0724,0.0093,4.8
